State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,Anantapur,2003,Whole Year ,coconut,839.0,3285828.0
Andhra Pradesh,Anantapur,2003,Whole Year ,grapes,118.0,2048.0
Andhra Pradesh,Anantapur,2003,Whole Year ,mango,3935.0,58337.0
Andhra Pradesh,Anantapur,2003,Whole Year ,orange,13441.0,224640.0
Andhra Pradesh,Anantapur,2003,Whole Year ,papaya,1381.0,60038.0
Andhra Pradesh,Anantapur,2004,Kharif     ,cotton,8933.0,7041.0
Andhra Pradesh,Anantapur,2004,Kharif     ,maize,3495.0,10031.0
Andhra Pradesh,Anantapur,2004,Kharif     ,mungbean,1464.0,545.0
Andhra Pradesh,Anantapur,2004,Kharif     ,rice,24335.0,85051.0
Andhra Pradesh,Anantapur,2004,Rabi       ,chickpea,42106.0,9516.0
Andhra Pradesh,Anantapur,2004,Rabi       ,maize,3572.0,25822.0
Andhra Pradesh,Anantapur,2004,Rabi       ,mungbean,3.0,1.0
Andhra Pradesh,Anantapur,2004,Rabi       ,rice,9240.0,21622.0
Andhra Pradesh,Anantapur,2004,Rabi       ,wheat,393.0,88.0
Andhra Pradesh,Anantapur,2004,Whole Year ,banana,324.0,16897.0
Andhra Pradesh,Anantapur,2004,Whole Year ,coconut,837.0,6413350.0
Andhra Pradesh,Anantapur,2005,Kharif     ,cotton,3295.0,3450.0
Andhra Pradesh,Anantapur,2005,Kharif     ,maize,5958.0,21538.0
Andhra Pradesh,Anantapur,2005,Kharif     ,mungbean,1078.0,747.0
Andhra Pradesh,Anantapur,2005,Kharif     ,rice,25008.0,69972.0
Andhra Pradesh,Anantapur,2005,Rabi       ,chickpea,49105.0,48172.0
Andhra Pradesh,Anantapur,2005,Rabi       ,maize,1435.0,10721.0
Andhra Pradesh,Anantapur,2005,Rabi       ,mungbean,16.0,5.0
Andhra Pradesh,Anantapur,2005,Rabi       ,rice,23142.0,55587.0
Andhra Pradesh,Anantapur,2005,Rabi       ,wheat,297.0,175.0
Andhra Pradesh,Anantapur,2005,Whole Year ,banana,303.0,16231.0
Andhra Pradesh,Anantapur,2005,Whole Year ,coconut,836.0,3358992.0
Andhra Pradesh,Anantapur,2006,Kharif     ,cotton,1506.0,1940.0
Andhra Pradesh,Anantapur,2006,Kharif     ,maize,4877.0,20181.0
Andhra Pradesh,Anantapur,2006,Kharif     ,mungbean,788.0,98.0
Andhra Pradesh,Anantapur,2006,Kharif     ,rice,22349.0,67427.0
Andhra Pradesh,Anantapur,2006,Rabi       ,chickpea,83533.0,30739.0
Andhra Pradesh,Anantapur,2006,Rabi       ,maize,3120.0,23640.0
Andhra Pradesh,Anantapur,2006,Rabi       ,mungbean,139.0,52.0
Andhra Pradesh,Anantapur,2006,Rabi       ,rice,10846.0,31974.0
Andhra Pradesh,Anantapur,2006,Rabi       ,wheat,190.0,50.0
Andhra Pradesh,Anantapur,2006,Whole Year ,banana,289.0,14141.0
Andhra Pradesh,Anantapur,2006,Whole Year ,coconut,790.0,6404076.0
Andhra Pradesh,Anantapur,2007,Kharif     ,cotton,3000.0,2000.0
Andhra Pradesh,Anantapur,2007,Kharif     ,maize,7000.0,32000.0
Andhra Pradesh,Anantapur,2007,Kharif     ,mungbean,1000.0,
Andhra Pradesh,Anantapur,2007,Kharif     ,rice,30000.0,95000.0
Andhra Pradesh,Anantapur,2007,Rabi       ,chickpea,75000.0,78000.0
Andhra Pradesh,Anantapur,2007,Rabi       ,maize,6000.0,48000.0
Andhra Pradesh,Anantapur,2007,Rabi       ,rice,14000.0,37000.0
Andhra Pradesh,Anantapur,2008,Kharif     ,cotton,1611.0,1241.0
Andhra Pradesh,Anantapur,2008,Kharif     ,maize,6041.0,20896.0
Andhra Pradesh,Anantapur,2008,Kharif     ,mungbean,629.0,245.0
Andhra Pradesh,Anantapur,2008,Kharif     ,rice,30306.0,94615.0
Andhra Pradesh,Anantapur,2008,Rabi       ,chickpea,73055.0,68379.0
Andhra Pradesh,Anantapur,2008,Rabi       ,maize,3658.0,32300.0
Andhra Pradesh,Anantapur,2008,Rabi       ,rice,18416.0,49815.0
Andhra Pradesh,Anantapur,2008,Rabi       ,wheat,164.0,217.0
Andhra Pradesh,Anantapur,2008,Whole Year ,banana,3603.0,160939.0
Andhra Pradesh,Anantapur,2008,Whole Year ,coconut,786.0,7141464.0
Andhra Pradesh,Anantapur,2009,Kharif     ,cotton,2063.0,1226.0
Andhra Pradesh,Anantapur,2009,Kharif     ,maize,8852.0,43924.0
Andhra Pradesh,Anantapur,2009,Kharif     ,mungbean,448.0,115.0
Andhra Pradesh,Anantapur,2009,Kharif     ,rice,32226.0,101512.0
Andhra Pradesh,Anantapur,2009,Rabi       ,chickpea,92936.0,107248.0
Andhra Pradesh,Anantapur,2009,Rabi       ,maize,4615.0,33736.0
Andhra Pradesh,Anantapur,2009,Rabi       ,mungbean,8.0,3.0
Andhra Pradesh,Anantapur,2009,Rabi       ,rice,19428.0,46899.0
Andhra Pradesh,Anantapur,2009,Rabi       ,wheat,179.0,97.0
Andhra Pradesh,Anantapur,2009,Whole Year ,banana,5010.0,265981.0
Andhra Pradesh,Anantapur,2009,Whole Year ,coconut,725.0,4247685.0
Andhra Pradesh,Anantapur,2010,Kharif     ,cotton,4338.0,2977.0
Andhra Pradesh,Anantapur,2010,Kharif     ,maize,10726.0,51174.0
Andhra Pradesh,Anantapur,2010,Kharif     ,mungbean,791.0,251.0
Andhra Pradesh,Anantapur,2010,Kharif     ,rice,34973.0,102007.0
Andhra Pradesh,Anantapur,2010,Rabi       ,chickpea,94240.0,73601.0
Andhra Pradesh,Anantapur,2010,Rabi       ,maize,4750.0,43306.0
Andhra Pradesh,Anantapur,2010,Rabi       ,mungbean,83.0,29.0
Andhra Pradesh,Anantapur,2010,Rabi       ,rice,24828.0,69394.0
Andhra Pradesh,Anantapur,2010,Rabi       ,wheat,131.0,171.0
Andhra Pradesh,Anantapur,2010,Whole Year ,banana,4416.0,223825.0
Andhra Pradesh,Anantapur,2011,Kharif     ,cotton,19299.0,12069.0
Andhra Pradesh,Anantapur,2011,Kharif     ,maize,25447.0,63465.0
Andhra Pradesh,Anantapur,2011,Kharif     ,mungbean,785.0,504.0
Andhra Pradesh,Anantapur,2011,Kharif     ,rice,37720.0,94531.0
Andhra Pradesh,Anantapur,2011,Rabi       ,chickpea,68483.0,38008.0
Andhra Pradesh,Anantapur,2011,Rabi       ,maize,6208.0,48168.0
Andhra Pradesh,Anantapur,2011,Rabi       ,mungbean,132.0,79.0
Andhra Pradesh,Anantapur,2011,Rabi       ,rice,10948.0,25542.0
Andhra Pradesh,Anantapur,2011,Rabi       ,wheat,75.0,100.0
Andhra Pradesh,Anantapur,2011,Whole Year ,banana,8000.0,505176.0
Andhra Pradesh,Anantapur,2011,Whole Year ,coconut,895.0,7165320.0
Andhra Pradesh,Anantapur,2012,Kharif     ,cotton,27566.0,35511.0
Andhra Pradesh,Anantapur,2012,Kharif     ,grapes,238.0,7606.0
Andhra Pradesh,Anantapur,2012,Kharif     ,maize,22039.0,63516.0
Andhra Pradesh,Anantapur,2012,Kharif     ,mango,6276.0,57601.0
Andhra Pradesh,Anantapur,2012,Kharif     ,mungbean,481.0,266.0
Andhra Pradesh,Anantapur,2012,Kharif     ,papaya,447.0,17197.0
Andhra Pradesh,Anantapur,2012,Kharif     ,pomegranate,1279.0,17671.0
Andhra Pradesh,Anantapur,2012,Kharif     ,rice,22056.0,58691.0
Andhra Pradesh,Anantapur,2012,Rabi       ,cotton,77.0,99.0
Andhra Pradesh,Anantapur,2012,Rabi       ,chickpea,89676.0,77301.0
Andhra Pradesh,Anantapur,2012,Rabi       ,maize,7070.0,50098.0
Andhra Pradesh,Anantapur,2012,Rabi       ,mungbean,117.0,79.0
Andhra Pradesh,Anantapur,2012,Rabi       ,rice,6998.0,17768.0
Andhra Pradesh,Anantapur,2012,Rabi       ,wheat,134.0,151.0
Andhra Pradesh,Anantapur,2012,Whole Year ,coconut,646.0,5571000.0
Andhra Pradesh,Anantapur,2013,Kharif     ,cotton,37661.0,77316.0
Andhra Pradesh,Anantapur,2013,Kharif     ,grapes,247.0,5644.0
Andhra Pradesh,Anantapur,2013,Kharif     ,maize,27087.0,53226.0
Andhra Pradesh,Anantapur,2013,Kharif     ,mango,8711.0,74653.0
Andhra Pradesh,Anantapur,2013,Kharif     ,mungbean,481.0,534.0
Andhra Pradesh,Anantapur,2013,Kharif     ,papaya,230.0,22418.0
Andhra Pradesh,Anantapur,2013,Kharif     ,pomegranate,1450.0,23722.0
Andhra Pradesh,Anantapur,2013,Kharif     ,rice,28114.0,59377.0
Andhra Pradesh,Anantapur,2013,Rabi       ,cotton,62.0,127.0
Andhra Pradesh,Anantapur,2013,Rabi       ,chickpea,85768.0,68614.0
Andhra Pradesh,Anantapur,2013,Rabi       ,maize,7777.0,57970.0
Andhra Pradesh,Anantapur,2013,Rabi       ,mungbean,129.0,81.0
Andhra Pradesh,Anantapur,2013,Rabi       ,rice,12283.0,28558.0
Andhra Pradesh,Anantapur,2013,Rabi       ,wheat,62.0,39.0
Andhra Pradesh,Anantapur,2013,Whole Year ,banana,8661.0,483881.0
Andhra Pradesh,Anantapur,2013,Whole Year ,coconut,552.0,3969000.0
Andhra Pradesh,Anantapur,2013,Whole Year ,wheat,62.0,39.0
Andhra Pradesh,Anantapur,2014,Kharif     ,cotton,73734.0,103779.0
Andhra Pradesh,Anantapur,2014,Kharif     ,grapes,309.0,6886.0
Andhra Pradesh,Anantapur,2014,Kharif     ,maize,16839.0,42687.0
Andhra Pradesh,Anantapur,2014,Kharif     ,mango,11278.0,70939.0
Andhra Pradesh,Anantapur,2014,Kharif     ,mungbean,2428.0,2994.0
Andhra Pradesh,Anantapur,2014,Kharif     ,papaya,374.0,29443.0
Andhra Pradesh,Anantapur,2014,Kharif     ,pomegranate,1572.0,16416.0
Andhra Pradesh,Anantapur,2014,Kharif     ,rice,22658.0,68155.0
Andhra Pradesh,Anantapur,2014,Rabi       ,cotton,884.0,1244.0
Andhra Pradesh,Anantapur,2014,Rabi       ,chickpea,68092.0,38676.0
Andhra Pradesh,Anantapur,2014,Rabi       ,maize,4474.0,31618.0
Andhra Pradesh,Anantapur,2014,Rabi       ,mungbean,586.0,481.0
Andhra Pradesh,Anantapur,2014,Rabi       ,rice,6553.0,14377.0
Andhra Pradesh,Anantapur,2014,Whole Year ,coconut,687.0,5756000.0
Andhra Pradesh,Anantapur,2014,Whole Year ,rice,29211.0,82532.0
Andhra Pradesh,Chittoor,1997,Kharif     ,maize,100.0,300.0
Andhra Pradesh,Chittoor,1997,Kharif     ,mungbean,200.0,100.0
Andhra Pradesh,Chittoor,1997,Kharif     ,rice,42300.0,84400.0
Andhra Pradesh,Chittoor,1997,Rabi       ,rice,57400.0,137400.0
Andhra Pradesh,Chittoor,1998,Kharif     ,maize,100.0,300.0
Andhra Pradesh,Chittoor,1998,Kharif     ,mungbean,300.0,200.0
Andhra Pradesh,Chittoor,1998,Kharif     ,rice,42000.0,105400.0
Andhra Pradesh,Chittoor,1998,Rabi       ,maize,100.0,300.0
Andhra Pradesh,Chittoor,1998,Rabi       ,rice,62400.0,159200.0
Andhra Pradesh,Chittoor,1999,Kharif     ,cotton,2.0,2.0
Andhra Pradesh,Chittoor,1999,Kharif     ,maize,181.0,514.0
Andhra Pradesh,Chittoor,1999,Kharif     ,mungbean,159.0,113.0
Andhra Pradesh,Chittoor,1999,Kharif     ,rice,37542.0,75477.0
Andhra Pradesh,Chittoor,1999,Rabi       ,chickpea,1.0,1.0
Andhra Pradesh,Chittoor,1999,Rabi       ,maize,67.0,324.0
Andhra Pradesh,Chittoor,1999,Rabi       ,mungbean,85.0,23.0
Andhra Pradesh,Chittoor,1999,Rabi       ,rice,37489.0,76800.0
Andhra Pradesh,Chittoor,2000,Kharif     ,cotton,19.0,25.0
Andhra Pradesh,Chittoor,2000,Kharif     ,chickpea,6.0,5.0
Andhra Pradesh,Chittoor,2000,Kharif     ,maize,357.0,930.0
Andhra Pradesh,Chittoor,2000,Kharif     ,mungbean,138.0,61.0
Andhra Pradesh,Chittoor,2000,Kharif     ,rice,33776.0,89236.0
Andhra Pradesh,Chittoor,2000,Rabi       ,maize,56.0,302.0
Andhra Pradesh,Chittoor,2000,Rabi       ,mungbean,42.0,14.0
Andhra Pradesh,Chittoor,2000,Rabi       ,rice,41442.0,97181.0
Andhra Pradesh,Chittoor,2000,Rabi       ,wheat,5.0,3.0
Andhra Pradesh,Chittoor,2000,Whole Year ,banana,953.0,19033.0
Andhra Pradesh,Chittoor,2000,Whole Year ,coconut,4011.0,17215660.0
Andhra Pradesh,Chittoor,2000,Whole Year ,tapioca,1.0,8.0
Andhra Pradesh,Chittoor,2001,Kharif     ,cotton,2.0,2.0
Andhra Pradesh,Chittoor,2001,Kharif     ,chickpea,5.0,6.0
Andhra Pradesh,Chittoor,2001,Kharif     ,maize,294.0,786.0
Andhra Pradesh,Chittoor,2001,Kharif     ,mungbean,225.0,109.0
Andhra Pradesh,Chittoor,2001,Kharif     ,rice,24377.0,55311.0
Andhra Pradesh,Chittoor,2001,Rabi       ,maize,81.0,524.0
Andhra Pradesh,Chittoor,2001,Rabi       ,mungbean,82.0,25.0
Andhra Pradesh,Chittoor,2001,Rabi       ,rice,62049.0,170573.0
Andhra Pradesh,Chittoor,2001,Rabi       ,wheat,4.0,
Andhra Pradesh,Chittoor,2001,Whole Year ,banana,1005.0,7156.0
Andhra Pradesh,Chittoor,2001,Whole Year ,coconut,4133.0,14827800.0
Andhra Pradesh,Chittoor,2002,Kharif     ,maize,261.0,253.0
Andhra Pradesh,Chittoor,2002,Kharif     ,mungbean,174.0,26.0
Andhra Pradesh,Chittoor,2002,Kharif     ,rice,20137.0,50020.0
Andhra Pradesh,Chittoor,2002,Rabi       ,chickpea,20.0,16.0
Andhra Pradesh,Chittoor,2002,Rabi       ,maize,284.0,1968.0
Andhra Pradesh,Chittoor,2002,Rabi       ,mungbean,172.0,44.0
Andhra Pradesh,Chittoor,2002,Rabi       ,rice,30034.0,76827.0
Andhra Pradesh,Chittoor,2002,Rabi       ,wheat,5.0,7.0
Andhra Pradesh,Chittoor,2002,Whole Year ,banana,960.0,50841.0
Andhra Pradesh,Chittoor,2002,Whole Year ,coconut,4296.0,17209269.0
Andhra Pradesh,Chittoor,2002,Whole Year ,grapes,36.0,673.0
Andhra Pradesh,Chittoor,2002,Whole Year ,mango,47834.0,335015.0
Andhra Pradesh,Chittoor,2002,Whole Year ,orange,4.0,39.0
Andhra Pradesh,Chittoor,2002,Whole Year ,papaya,39.0,5087.0
Andhra Pradesh,Chittoor,2003,Kharif     ,maize,742.0,1273.0
Andhra Pradesh,Chittoor,2003,Kharif     ,mungbean,631.0,343.0
Andhra Pradesh,Chittoor,2003,Kharif     ,rice,18495.0,38562.0
Andhra Pradesh,Chittoor,2003,Rabi       ,maize,392.0,2195.0
Andhra Pradesh,Chittoor,2003,Rabi       ,mungbean,221.0,75.0
Andhra Pradesh,Chittoor,2003,Rabi       ,rice,27286.0,46714.0
Andhra Pradesh,Chittoor,2003,Rabi       ,wheat,7.0,2.0
Andhra Pradesh,Chittoor,2003,Whole Year ,banana,587.0,21222.0
Andhra Pradesh,Chittoor,2003,Whole Year ,coconut,4294.0,16827552.0
Andhra Pradesh,Chittoor,2003,Whole Year ,grapes,32.0,555.0
Andhra Pradesh,Chittoor,2003,Whole Year ,mango,48572.0,234579.0
Andhra Pradesh,Chittoor,2003,Whole Year ,orange,6.0,96.0
Andhra Pradesh,Chittoor,2003,Whole Year ,papaya,17.0,1544.0
Andhra Pradesh,Chittoor,2004,Kharif     ,chickpea,9.0,8.0
Andhra Pradesh,Chittoor,2004,Kharif     ,maize,509.0,1461.0
Andhra Pradesh,Chittoor,2004,Kharif     ,mungbean,337.0,125.0
Andhra Pradesh,Chittoor,2004,Kharif     ,rice,19055.0,43331.0
Andhra Pradesh,Chittoor,2004,Rabi       ,chickpea,2.0,2.0
Andhra Pradesh,Chittoor,2004,Rabi       ,maize,354.0,2559.0
Andhra Pradesh,Chittoor,2004,Rabi       ,mungbean,218.0,71.0
Andhra Pradesh,Chittoor,2004,Rabi       ,rice,25822.0,69177.0
Andhra Pradesh,Chittoor,2004,Rabi       ,wheat,2.0,
Andhra Pradesh,Chittoor,2004,Whole Year ,banana,586.0,30560.0
Andhra Pradesh,Chittoor,2004,Whole Year ,coconut,4165.0,31934060.0
Andhra Pradesh,Chittoor,2005,Kharif     ,cotton,4.0,4.0
Andhra Pradesh,Chittoor,2005,Kharif     ,maize,417.0,2150.0
